iter	Passed	Remaining
540	47207	40052
541	47293	39963
542	47373	39870
543	47450	39774
544	47518	39671
545	47636	39609
546	47732	39529
547	47812	39436
548	47890	39341
549	47972	39249
550	48051	39156
551	48132	39064
552	48211	38969
553	48306	38889
554	48395	38803
555	48480	38714
556	48575	38633
557	48672	38554
558	48768	38473
559	48856	38387
560	48928	38288
561	49020	38204
562	49109	38118
563	49190	38026
564	49262	37927
565	49341	37834
566	49418	37739
567	49513	37657
568	49619	37585
569	49695	37489
570	49778	37399
571	49869	37314
572	49947	37220
573	50062	37154
574	50133	37055
575	50205	36957
576	50280	36861
577	50377	36780
578	50464	36693
579	50548	36603
580	50630	36513
581	50717	36425
582	50808	36341
583	50898	36256
584	50966	36155
585	51034	36055
586	51119	35966
587	51199	35874
588	51293	35792
589	51386	35709
590	51471	35620
591	51549	35527
592	51628	35434
593	51728	35356
594	51831	35280
595	51926	35198
596	52012	35110
597	52098	35023
598	52171	34926
599	52265	34843
600	52353	34757
601	52424	34659
602	52519	34577
603	52593	34481
604	52678	34393
605	52773	34311
606	52848	34216
607	52927	34124
608	53000	34028
609	53089	33942
610	53164	33847
611	53264	33768
612	53360	33687
613	53446	33599
614	53552	33524
615	53619	33425
616	53701	33335
617	53773	33238
618	53872	33158
619	53963	33074
620	54035	32977
621	54111	32884
622	54193	32794
623	54288	32712
624	54370	32622
625	54449	32530
626	54530	32440
627	54603	32344
628	54678	32250
629	54786	32176
630	54871	32087
631	54959	32001
632	55062	31923
633	55126	31823
634	55214	31737
635	55296	31647
636	55379	31558
637	55473	31475
638	55554	31385
639	55632	31293
640	55705	31198
641	55805	31119
642	55885	31028
643	55960	30934
644	56041	30844
645	56123	30754
646	56202	30663
647	56275	30569
648	56361	30482
649	56440	30391
650	56522	30301
651	56594	30206
652	56673	30115
653	56747	30022
654	56833	29935
655	56916	29846
656	56997	29756
657	57075	29665
658	57158	29576
659	57247	29491
660	57334	29404
661	57421	29318
662	57494	29224
663	57578	29136
664	57667	29050
665	57757	28965
666	57848	28880
667	57935	28794
668	58023	28707
669	58110	28621
670	58194	28533
671	58276	28444
672	58369	28360
673	58446	28269
674	58547	28189
675	58629	28100
676	58722	28016
677	58791	27921
678	58872	27832
679	58953	27742
680	59044	27658
681	59123	27567
682	59206	27479
683	59281	27387
684	59360	27297
685	59444	27209
686	59520	27117
687	59589	27022
688	59675	26936
689	59753	26845
690	59836	26757
691	59916	26668
692	59988	26575
693	60067	26485
694	60163	26402
695	60246	26314
696	60313	26219
697	60401	26133
698	60497	26050
699	60595	25969
700	60678	25881
701	60791	25805
702	60864	25713
703	60947	25625
704	61026	25535
705	61100	25444
706	61183	25356
707	61258	25265
708	61329	25171
709	61408	25082
710	61489	24993
711	61584	24910
712	61661	24820
713	61732	24727
714	61810	24637
715	61889	24548
716	61979	24463
717	62059	24374
718	62133	24282
719	62214	24194
720	62279	24099
721	62368	24014
722	62438	23921
723	62514	23831
724	62583	23738
725	62667	23651
726	62741	23560
727	62823	23472
728	62905	23384
729	62969	23290
730	63050	23201
731	63116	23108
732	63193	23018
733	63270	22929
734	63338	22836
735	63413	22746
736	63494	22658
737	63559	22564
738	63628	22472
739	63721	22388
740	63790	22296
741	63870	22208
742	63949	22119
743	64027	22030
744	64123	21948
745	64196	21857
746	64256	21762
747	64331	21673
748	64417	21587
