,Date,Stock_Close,Stock_Sum,Stock_Ratio,Stock_Start,Stock_High,Stock_Low,Stock_Vol,Stock_Money,Stock_Market,label
3045,2015-08-27,21340.0,0.0,0.0,21640.0,21720.0,21260.0,495388.0,531000000000.0,157000000000000.0,1.0
3046,2015-08-28,21620.0,280.0,1.31,21720.0,21720.0,21460.0,462223.0,499000000000.0,159000000000000.0,1.0
3047,2015-08-31,21780.0,160.0,0.74,21420.0,21780.0,21040.0,408309.0,438000000000.0,160000000000000.0,0.0
3048,2015-09-01,21700.0,-80.0,-0.37,21780.0,21960.0,21620.0,240372.0,262000000000.0,160000000000000.0,1.0
3049,2015-09-02,21800.0,100.0,0.46,21380.0,21900.0,21300.0,312683.0,339000000000.0,161000000000000.0,1.0
3050,2015-09-03,22440.0,640.0,2.94,22040.0,22460.0,21860.0,305142.0,340000000000.0,165000000000000.0,1.0
3051,2015-09-04,22580.0,140.0,0.62,22880.0,22880.0,22360.0,251734.0,285000000000.0,166000000000000.0,1.0
3052,2015-09-08,22620.0,380.0,1.71,22260.0,22720.0,22120.0,182330.0,205000000000.0,167000000000000.0,1.0
3053,2015-09-09,22940.0,320.0,1.41,22920.0,22940.0,22720.0,259376.0,291000000000.0,169000000000000.0,0.0
3054,2015-09-10,22680.0,-260.0,-1.13,22600.0,22780.0,22360.0,362568.0,410000000000.0,167000000000000.0,0.0
3055,2015-09-11,22300.0,-380.0,-1.68,22520.0,22660.0,22300.0,204167.0,229000000000.0,164000000000000.0,1.0
3056,2015-09-14,22480.0,180.0,0.81,22400.0,22480.0,22200.0,167073.0,187000000000.0,166000000000000.0,0.0
3057,2015-09-15,22460.0,-20.0,-0.09,22280.0,22560.0,22260.0,232956.0,261000000000.0,165000000000000.0,1.0
3058,2015-09-16,23040.0,580.0,2.58,22420.0,23140.0,22420.0,343763.0,394000000000.0,170000000000000.0,1.0
3059,2015-09-17,23140.0,100.0,0.43,23060.0,23140.0,22880.0,273960.0,316000000000.0,170000000000000.0,1.0
3060,2015-09-18,23800.0,660.0,2.85,22900.0,23840.0,22700.0,436270.0,511000000000.0,175000000000000.0,0.0
3061,2015-09-21,23000.0,-800.0,-3.36,23260.0,23460.0,23000.0,205359.0,238000000000.0,169000000000000.0,0.0
3062,2015-09-22,22900.0,-100.0,-0.43,22860.0,23000.0,22600.0,250675.0,286000000000.0,169000000000000.0,0.0
3063,2015-09-23,22620.0,-280.0,-1.22,22880.0,22880.0,22500.0,197649.0,224000000000.0,167000000000000.0,0.0
3064,2015-09-24,22520.0,-100.0,-0.44,22520.0,22700.0,22500.0,132721.0,150000000000.0,166000000000000.0,0.0
3065,2015-09-25,22240.0,-280.0,-1.24,22400.0,22500.0,22180.0,209160.0,233000000000.0,164000000000000.0,1.0
3066,2015-09-30,22680.0,440.0,1.98,22000.0,22680.0,21800.0,458936.0,513000000000.0,167000000000000.0,0.0
3067,2015-10-01,22680.0,0.0,0.0,22800.0,22900.0,22420.0,241041.0,274000000000.0,167000000000000.0,0.0
3068,2015-10-02,22380.0,-300.0,-1.32,22240.0,22660.0,22240.0,274302.0,308000000000.0,165000000000000.0,0.0
3069,2015-10-05,22300.0,-80.0,-0.36,22380.0,22620.0,22300.0,241935.0,272000000000.0,164000000000000.0,1.0
3070,2015-10-06,23020.0,720.0,3.23,22600.0,23100.0,22540.0,382987.0,439000000000.0,170000000000000.0,1.0
3071,2015-10-07,25020.0,2000.0,8.69,23960.0,25040.0,23720.0,799502.0,975000000000.0,184000000000000.0,1.0
3072,2015-10-08,25400.0,380.0,1.52,25000.0,25580.0,25000.0,570677.0,720000000000.0,187000000000000.0,0.0
3073,2015-10-12,25200.0,-200.0,-0.79,25200.0,25260.0,24940.0,378974.0,476000000000.0,186000000000000.0,0.0
3074,2015-10-13,25040.0,-160.0,-0.63,25200.0,25440.0,24960.0,198000.0,249000000000.0,184000000000000.0,1.0
3075,2015-10-14,25080.0,40.0,0.16,24960.0,25200.0,24740.0,175051.0,219000000000.0,185000000000000.0,1.0
3076,2015-10-15,25380.0,300.0,1.2,24880.0,25640.0,24860.0,248503.0,317000000000.0,187000000000000.0,0.0
3077,2015-10-16,25300.0,-80.0,-0.32,25300.0,25380.0,25180.0,143968.0,182000000000.0,186000000000000.0,0.0
3078,2015-10-19,25120.0,-180.0,-0.71,25140.0,25300.0,24980.0,117070.0,147000000000.0,185000000000000.0,1.0
3079,2015-10-20,25320.0,200.0,0.8,25200.0,25460.0,25120.0,150347.0,190000000000.0,186000000000000.0,1.0
3080,2015-10-21,25400.0,80.0,0.32,25300.0,25640.0,25180.0,139567.0,178000000000.0,187000000000000.0,1.0
3081,2015-10-22,25600.0,200.0,0.79,25600.0,25900.0,25380.0,230673.0,296000000000.0,189000000000000.0,1.0
3082,2015-10-23,25780.0,180.0,0.7,26000.0,26000.0,25560.0,263071.0,340000000000.0,190000000000000.0,1.0
3083,2015-10-26,25840.0,60.0,0.23,25960.0,25960.0,25440.0,152165.0,196000000000.0,190000000000000.0,1.0
3084,2015-10-27,25960.0,120.0,0.46,25640.0,25980.0,25620.0,132241.0,171000000000.0,191000000000000.0,1.0
3085,2015-10-28,26160.0,200.0,0.77,25880.0,26160.0,25820.0,271303.0,353000000000.0,193000000000000.0,1.0
3086,2015-10-29,26500.0,340.0,1.3,26600.0,27840.0,26480.0,630471.0,851000000000.0,195000000000000.0,1.0
3087,2015-10-30,27440.0,940.0,3.55,26900.0,27800.0,26820.0,509385.0,696000000000.0,202000000000000.0,1.0
3088,2015-11-02,27660.0,220.0,0.8,27700.0,27860.0,27480.0,386546.0,535000000000.0,204000000000000.0,0.0
3089,2015-11-03,27040.0,-620.0,-2.24,27620.0,27620.0,27000.0,301840.0,413000000000.0,199000000000000.0,0.0
3090,2015-11-04,26600.0,-440.0,-1.63,27040.0,27220.0,26520.0,281070.0,377000000000.0,196000000000000.0,1.0
3091,2015-11-05,26840.0,240.0,0.9,26600.0,27080.0,26600.0,173042.0,232000000000.0,198000000000000.0,0.0
3092,2015-11-06,26760.0,-80.0,-0.3,26860.0,26960.0,26600.0,164322.0,220000000000.0,197000000000000.0,1.0
3093,2015-11-09,26880.0,120.0,0.45,26760.0,26880.0,26420.0,185661.0,248000000000.0,198000000000000.0,0.0
3094,2015-11-10,26420.0,-460.0,-1.71,26720.0,26820.0,26280.0,197551.0,263000000000.0,195000000000000.0,1.0
3095,2015-11-11,26660.0,240.0,0.91,26420.0,26900.0,26420.0,140449.0,187000000000.0,196000000000000.0,0.0
3096,2015-11-12,26340.0,-320.0,-1.2,26660.0,26680.0,26340.0,157417.0,209000000000.0,194000000000000.0,0.0
3097,2015-11-13,26000.0,-340.0,-1.29,26340.0,26340.0,26000.0,177677.0,233000000000.0,191000000000000.0,0.0
3098,2015-11-16,25260.0,-740.0,-2.85,25820.0,25820.0,25260.0,275705.0,351000000000.0,186000000000000.0,1.0
3099,2015-11-17,25400.0,140.0,0.55,25500.0,25800.0,25400.0,186184.0,238000000000.0,187000000000000.0,1.0
3100,2015-11-18,25620.0,220.0,0.87,25440.0,25800.0,25440.0,167735.0,215000000000.0,189000000000000.0,1.0
3101,2015-11-19,25780.0,160.0,0.62,25800.0,25800.0,25420.0,192850.0,248000000000.0,190000000000000.0,0.0
3102,2015-11-20,25700.0,-80.0,-0.31,25780.0,25920.0,25560.0,168720.0,217000000000.0,189000000000000.0,0.0
3103,2015-11-23,25640.0,-60.0,-0.23,25700.0,26040.0,25620.0,198820.0,257000000000.0,189000000000000.0,1.0
3104,2015-11-24,25980.0,340.0,1.33,25640.0,26100.0,25640.0,159560.0,206000000000.0,191000000000000.0,0.0
3105,2015-11-25,25980.0,0.0,0.0,26000.0,26200.0,25980.0,142627.0,186000000000.0,191000000000000.0,0.0
3106,2015-11-27,26540.0,-160.0,-0.6,26900.0,26980.0,26540.0,169854.0,227000000000.0,195000000000000.0,0.0
3107,2015-11-30,25680.0,-860.0,-3.24,26500.0,26500.0,25680.0,534006.0,689000000000.0,189000000000000.0,1.0
3108,2015-12-01,26420.0,740.0,2.88,25880.0,26440.0,25760.0,252113.0,330000000000.0,195000000000000.0,0.0
3109,2015-12-02,26000.0,-420.0,-1.59,26420.0,26440.0,25880.0,229628.0,301000000000.0,191000000000000.0,0.0
3110,2015-12-03,25800.0,-200.0,-0.77,25900.0,25940.0,25720.0,166695.0,215000000000.0,190000000000000.0,0.0
3111,2015-12-04,25380.0,-420.0,-1.63,25500.0,25600.0,25340.0,192711.0,245000000000.0,187000000000000.0,0.0
3112,2015-12-07,25240.0,-140.0,-0.55,25380.0,25500.0,25240.0,196107.0,249000000000.0,186000000000000.0,0.0
3113,2015-12-08,25240.0,0.0,0.0,25240.0,25440.0,25240.0,138322.0,175000000000.0,186000000000000.0,1.0
3114,2015-12-09,25260.0,20.0,0.08,25240.0,25500.0,25240.0,181812.0,230000000000.0,186000000000000.0,1.0
3115,2015-12-10,25660.0,400.0,1.58,25260.0,25860.0,25260.0,303867.0,389000000000.0,189000000000000.0,1.0
3116,2015-12-11,25680.0,20.0,0.08,25660.0,25900.0,25440.0,206729.0,266000000000.0,189000000000000.0,0.0
3117,2015-12-14,25220.0,-460.0,-1.79,25460.0,25460.0,25100.0,222801.0,282000000000.0,186000000000000.0,1.0
3118,2015-12-15,25540.0,320.0,1.27,25220.0,25600.0,25200.0,175494.0,223000000000.0,188000000000000.0,1.0
3119,2015-12-16,25980.0,440.0,1.72,25560.0,26200.0,25560.0,207962.0,270000000000.0,191000000000000.0,0.0
3120,2015-12-17,25800.0,-180.0,-0.69,26020.0,26160.0,25500.0,174677.0,225000000000.0,190000000000000.0,0.0
3121,2015-12-18,25560.0,-240.0,-0.93,25300.0,25760.0,25280.0,168369.0,215000000000.0,188000000000000.0,1.0
3122,2015-12-21,25600.0,40.0,0.16,25560.0,25700.0,25220.0,160466.0,204000000000.0,189000000000000.0,1.0
3123,2015-12-22,25840.0,240.0,0.94,25600.0,25840.0,25340.0,206192.0,264000000000.0,190000000000000.0,1.0
3124,2015-12-23,25900.0,60.0,0.23,25840.0,25980.0,25640.0,207148.0,268000000000.0,191000000000000.0,0.0
3125,2015-12-24,25700.0,-200.0,-0.77,25900.0,26000.0,25700.0,156151.0,202000000000.0,189000000000000.0,0.0
3126,2015-12-28,25320.0,-380.0,-1.48,25700.0,25780.0,25320.0,227230.0,289000000000.0,186000000000000.0,0.0
3127,2015-12-29,25080.0,-240.0,-0.95,25300.0,25320.0,24820.0,232944.0,292000000000.0,185000000000000.0,1.0
3128,2015-12-30,25200.0,120.0,0.48,25200.0,25440.0,25080.0,203958.0,257000000000.0,186000000000000.0,0.0
3129,2016-01-04,24100.0,-1100.0,-4.37,25200.0,25200.0,24100.0,306939.0,375000000000.0,177000000000000.0,1.0
3130,2016-01-05,24160.0,60.0,0.25,24040.0,24360.0,23720.0,216002.0,261000000000.0,178000000000000.0,0.0
3131,2016-01-06,23500.0,-660.0,-2.73,24160.0,24160.0,23360.0,366752.0,434000000000.0,173000000000000.0,0.0
3132,2016-01-07,23260.0,-240.0,-1.02,23320.0,23660.0,23020.0,282388.0,329000000000.0,171000000000000.0,1.0
3133,2016-01-08,23420.0,160.0,0.69,23260.0,23720.0,23260.0,257763.0,302000000000.0,172000000000000.0,0.0
3134,2016-01-11,23040.0,-380.0,-1.62,23120.0,23320.0,22920.0,241277.0,279000000000.0,170000000000000.0,0.0
3135,2016-01-12,22920.0,-120.0,-0.52,22960.0,23320.0,22880.0,206283.0,238000000000.0,169000000000000.0,1.0
3136,2016-01-13,22960.0,40.0,0.17,23060.0,23180.0,22960.0,143316.0,165000000000.0,169000000000000.0,0.0
3137,2016-01-14,22760.0,-200.0,-0.87,22620.0,22840.0,22620.0,209022.0,237000000000.0,168000000000000.0,0.0
3138,2016-01-15,22640.0,-120.0,-0.53,22800.0,23040.0,22480.0,209464.0,238000000000.0,167000000000000.0,1.0
3139,2016-01-19,23420.0,900.0,4.0,22560.0,23420.0,22560.0,207242.0,239000000000.0,172000000000000.0,0.0
3140,2016-01-20,22760.0,-660.0,-2.82,23200.0,23200.0,22640.0,167052.0,191000000000.0,168000000000000.0,0.0
3141,2016-01-21,22620.0,-140.0,-0.62,22660.0,23100.0,22500.0,190352.0,217000000000.0,167000000000000.0,1.0
3142,2016-01-22,23360.0,740.0,3.27,22900.0,23360.0,22900.0,147528.0,171000000000.0,172000000000000.0,0.0
3143,2016-01-25,23240.0,-120.0,-0.51,23440.0,23520.0,23120.0,159913.0,186000000000.0,171000000000000.0,0.0
3144,2016-01-26,22740.0,-500.0,-2.15,23100.0,23140.0,22720.0,152399.0,174000000000.0,167000000000000.0,1.0
3145,2016-01-27,23500.0,760.0,3.34,22520.0,23500.0,22520.0,276237.0,319000000000.0,173000000000000.0,0.0
3146,2016-01-28,22900.0,-600.0,-2.55,23280.0,23360.0,22780.0,315912.0,362000000000.0,169000000000000.0,1.0
3147,2016-01-29,23000.0,100.0,0.44,22800.0,23000.0,22320.0,436983.0,496000000000.0,167000000000000.0,1.0
3148,2016-02-01,23260.0,260.0,1.13,23040.0,23260.0,23020.0,259979.0,301000000000.0,169000000000000.0,0.0
3149,2016-02-02,23120.0,-140.0,-0.6,23220.0,23320.0,22940.0,166348.0,193000000000.0,168000000000000.0,0.0
3150,2016-02-03,22920.0,-200.0,-0.87,23000.0,23040.0,22740.0,174507.0,200000000000.0,166000000000000.0,1.0
3151,2016-02-04,23120.0,200.0,0.87,23000.0,23220.0,22960.0,247959.0,287000000000.0,168000000000000.0,1.0
3152,2016-02-05,23280.0,160.0,0.69,23120.0,23380.0,23120.0,188094.0,219000000000.0,169000000000000.0,0.0
3153,2016-02-11,22600.0,-680.0,-2.92,22360.0,22740.0,22360.0,305262.0,344000000000.0,164000000000000.0,0.0
3154,2016-02-12,22600.0,0.0,0.0,22600.0,23020.0,22440.0,256232.0,292000000000.0,164000000000000.0,1.0
3155,2016-02-16,23360.0,280.0,1.21,23160.0,23580.0,23140.0,180401.0,211000000000.0,169000000000000.0,1.0
3156,2016-02-17,23700.0,340.0,1.46,23580.0,24020.0,23380.0,246062.0,291000000000.0,172000000000000.0,1.0
3157,2016-02-18,23740.0,40.0,0.17,24060.0,24060.0,23560.0,222481.0,265000000000.0,172000000000000.0,1.0
3158,2016-02-19,23800.0,60.0,0.25,23740.0,23900.0,23480.0,176852.0,209000000000.0,173000000000000.0,0.0
3159,2016-02-22,23500.0,-300.0,-1.26,23800.0,23840.0,23320.0,174899.0,206000000000.0,170000000000000.0,1.0
